Refdate,Link_Apto,Endereco,Bairro,Valor,Andares,Tamanho (m2),Valor (m2),Quartos,Suites,Garagem,Banheiros,Varanda,Mobiliado,Portaria,Metro
17/04/2023,https://loft.com.br/imovel/apartamento-robert-bird-pedreira-sao-paulo-3-quartos-75m2/1falkp,Condomínio Residencial Parque Dos Passaros - Rua Robert Bird - Pedreira - São Paulo - SP,Pedreira,385000,3º andar,75,5133,3,1,1,2,0,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-horacio-alves-da-costa-cidade-ademar-sao-paulo-2-quartos-67m2/1dfqyy9,Condomínio Empreendimento Atlanta - Rua Horácio Alves da Costa - Cidade Ademar - São Paulo - SP,Cidade Ademar,370000,4º andar em diante,67,5522,2,0,1,2,1,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-da-matriz-santo-amaro-sao-paulo-2-quartos-92m2/1cwmwbw,Rua da Matriz - Santo Amaro - São Paulo - SP,Santo Amaro,400000,Sem info,92,4347,2,1,2,2,0,Não,Sem descrição,232
17/04/2023,https://loft.com.br/imovel/apartamento-joao-dias-santo-amaro-sao-paulo-1-quarto-68m2/1baj0zh,Condomínio Living Wish - Avenida João Dias - Santo Amaro - São Paulo - SP,Santo Amaro,790000,4º andar em diante,68,11617,1,1,2,2,1,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-marcilio-dias-socorro-sao-paulo-2-quartos-57m2/1ajh9p,Rua Marcílio Dias - Socorro - São Paulo - SP,Socorro,545000,4º andar em diante,57,9561,2,1,2,2,1,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-nossa-senhora-do-sabara-campo-grande-sao-paulo-2-quartos-69m2/11kpuwn,Condomínio Edificio Martha Regina - Avenida Nossa Senhora do Sabará - Campo Grande - São Paulo - SP,Campo Grande,412000,4º andar em diante,69,5971,2,0,1,1,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-nossa-senhora-do-sabara-campo-grande-sao-paulo-3-quartos-75m2/11efrdq,Condomínio Conjunto Residencial Condominio Marajoara - Avenida Nossa Senhora do Sabará - Campo Grande - São Paulo - SP,Campo Grande,600000,4º andar em diante,75,8000,3,1,1,2,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-rubens-meireles-barra-funda-sao-paulo-1-quarto-41m2/1161ea9,Condomínio Phd Personal Home Design - Rua Rubens Meireles - Barra Funda - São Paulo - SP,Barra Funda,570000,4º andar em diante,41,13902,1,0,1,1,0,Não,24h,604
17/04/2023,https://loft.com.br/imovel/apartamento-rua-francisco-de-vitoria-chacara-klabin-sao-paulo-2-quartos-62m2/11623eg,"Condomínio Edificio Mariana's Residence"", ' Rua Francisco de Vitória - Chácara Klabin - São Paulo - SP",Chácara Klabin,800000,4º andar em diante,62,12903,2,0,1,2,2,Não,Sem descrição,342
17/04/2023,https://loft.com.br/imovel/apartamento-rua-manuel-asson-ponte-rasa-sao-paulo-2-quartos-53m2/1165tsq,Rua Manuel Asson - Ponte Rasa - São Paulo - SP,Ponte Rasa,347112,4º andar em diante,53,6549,2,0,1,1,1,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-capitanias-hereditarias-capao-redondo-sao-paulo-2-quartos-64m2/118w7wm,Condomínio Conjunto Residencial Brasil - Rua Capitanias Hereditárias - Capão Redondo - São Paulo - SP,Capão Redondo,300000,3º andar,64,4687,2,0,1,1,0,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-caravelas-vila-mariana-sao-paulo-3-quartos-111m2/118z021,Condomínio Edificio Leon William Rassam - Rua Caravelas - Vila Mariana - São Paulo - SP,Vila Mariana,1300000,3º andar,111,11711,3,1,3,4,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-oswaldo-arouca-vila-formosa-sao-paulo-3-quartos-75m2/11arbrz,Condomínio Edificio Maison Copan - Rua Oswaldo Arouca - Vila Formosa - São Paulo - SP,Vila Formosa,478700,Sem info,75,6382,3,0,2,2,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-iporanga-barra-funda-sao-paulo-2-quartos-68m2/11bkdzh,Condomínio Living Privilege - Rua Iporanga - Barra Funda - São Paulo - SP,Barra Funda,890000,4º andar em diante,68,13088,2,1,1,2,1,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-avenida-nove-de-julho-republica-sao-paulo-1-quarto-91m2/11bmprp,Condomínio Edificio Angel - Avenida Nove de Julho - República - São Paulo - SP,República,480000,4º andar em diante,91,5274,1,0,0,1,0,Não,24h,724
17/04/2023,https://loft.com.br/imovel/apartamento-rua-maestro-torquato-amore-vila-sonia-sao-paulo-3-quartos-108m2/11bz4zr,Condomínio Edificio Jardim Leonor - Rua Maestro Torquato Amore - Vila Sônia - São Paulo - SP,Vila Sônia,700000,4º andar em diante,108,6481,3,1,2,4,1,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-igapira-santana-sao-paulo-3-quartos-129m2/11bzkx9,Condomínio Edificio Rosa Cristina - Rua Igapira - Santana - São Paulo - SP,Santana,650000,4º andar em diante,129,5038,3,1,2,3,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-das-azaleas-bosque-da-saude-sao-paulo-1-quarto-40m2/11d7jg7,Condomínio Edificio Tatiana - Rua das Azaléas - Bosque da Saúde - São Paulo - SP,Bosqueda Saúde,400000,4º andar em diante,40,10000,1,0,1,1,0,Não,Sem descrição,434
17/04/2023,https://loft.com.br/imovel/casa-rua-osorio-duque-estrada-paraiso-sao-paulo-4-quartos-206m2/1wjkdys,Rua Osório Duque Estrada - Paraíso - São Paulo - SP,Paraíso,2700000,Sem info,206,13106,4,1,0,3,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-padre-lebret-morumbi-sao-paulo-1-quarto-61m2/11dpgj2,Condomínio Andalus - Rua Padre Lebret - Morumbi - São Paulo - SP,Morumbi,828000,4º andar em diante,61,13573,1,1,2,2,1,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-avenida-moema-moema-indios-sao-paulo-2-quartos-76m2/11dpz3f,Condomínio Edificio Moema - Avenida Moema - Moema Índios - São Paulo - SP,MoemaÍndios,800000,4º andar em diante,76,10526,2,0,0,2,0,Não,Sem descrição,463
17/04/2023,https://loft.com.br/imovel/apartamento-rua-oscar-freire-pinheiros-sao-paulo-1-quarto-18m2/11gliy9,Condomínio VN Oscar Freire - Rua Oscar Freire - Pinheiros - São Paulo - SP,Pinheiros,650000,4º andar em diante,18,36111,1,1,0,1,0,Não,24h,74
17/04/2023,https://loft.com.br/imovel/apartamento-rua-bela-cintra-bela-vista-sao-paulo-1-quarto-29m2/11hx6q9,Condomínio Belint - Rua Bela Cintra - Bela Vista - São Paulo - SP,Bela Vista,500000,4º andar em diante,29,17241,1,0,0,1,1,Não,Sem descrição,463
17/04/2023,https://loft.com.br/imovel/apartamento-rua-ezequiel-freire-santana-sao-paulo-1-quarto-76m2/11krg1c,Condomínio Fao Residence - Rua Ezequiel Freire - Santana - São Paulo - SP,Santana,699000,4º andar em diante,76,9197,1,0,1,1,0,Não,Parcial,367
17/04/2023,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-1-quarto-26m2/11kwjny,Condomínio Edificio Poeta Drummond - Rua da Consolação - Jardim América - São Paulo - SP,Jardim América,367000,3º andar,26,14115,1,1,1,1,0,Não,Sem descrição,508
17/04/2023,https://loft.com.br/imovel/apartamento-rua-voluntarios-da-patria-santana-sao-paulo-3-quartos-127m2/11m8fic,Condomínio Edificio Solar Do Estoril - Rua Voluntários da Pátria - Santana - São Paulo - SP,Santana,800000,4º andar em diante,127,6299,3,1,2,3,0,Não,Sem descrição,846
17/04/2023,https://loft.com.br/imovel/apartamento-rua-francisco-romano-sacoma-sao-paulo-2-quartos-50m2/11ngssl,Condomínio VILA ROMANO - Rua Francisco Romano - Sacomã - São Paulo - SP,Sacomã,279000,3º andar,50,5580,2,0,1,1,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/casa-rua-das-vertentes-tucuruvi-sao-paulo-3-quartos-175m2/1gvx6ky,Rua das Vertentes - Tucuruvi - São Paulo - SP,Tucuruvi,780000,Sem info,175,4457,3,3,0,3,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-francisco-jose-da-silva-vila-andrade-sao-paulo-2-quartos-71m2/11nj5z2,Condomínio O2 Jardim Sul - Rua Francisco José da Silva - Vila Andrade - São Paulo - SP,Vila Andrade,640000,4º andar em diante,71,9014,2,1,2,2,1,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-urussui-itaim-bibi-sao-paulo-1-quarto-42m2/11rgrkj,Condomínio Edificio Saint James Residence Service - Rua Urussuí - Itaim Bibi - São Paulo - SP,Itaim Bibi,590000,4º andar em diante,42,14047,1,1,1,1,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-avenida-celso-garcia-belem-sao-paulo-2-quartos-45m2/11ru2n7,Condomínio On Belem City - Avenida Celso Garcia - Belém - São Paulo - SP,Belém,360000,4º andar em diante,45,8000,2,0,1,1,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-domingos-augusto-setti-chacara-klabin-sao-paulo-3-quartos-100m2/11sm3fx,Condomínio Edificio Spazio Di Nobili - Rua Domingos Augusto Setti - Chácara Klabin - São Paulo - SP,Chácara Klabin,1276600,Sem info,100,12766,3,0,2,3,0,Não,Sem descrição,230
17/04/2023,https://loft.com.br/imovel/apartamento-avenida-senador-casimiro-da-rocha-bosque-da-saude-sao-paulo-3-quartos-84m2/11ujnsp,Condomínio Edificio Jardim Das Orquideas - Avenida Senador Casimiro da Rocha - Bosque da Saúde - São Paulo - SP,Bosqueda Saúde,820000,4º andar em diante,84,9761,3,0,1,2,1,Não,Sem descrição,668
17/04/2023,https://loft.com.br/imovel/apartamento-alameda-franca-jardim-america-sao-paulo-3-quartos-113m2/11vhzes,Condomínio Vila Adriana - Alameda Franca - Jardim América - São Paulo - SP,Jardim América,1160000,3º andar,113,10265,3,0,1,2,0,Não,24h,681
17/04/2023,https://loft.com.br/imovel/apartamento-rua-jaguarete-casa-verde-sao-paulo-1-quarto-52m2/11wif8q,Condomínio Praca Braz Leme - Rua Jaguarete - Casa Verde - São Paulo - SP,Casa Verde,565050,3º andar,52,10866,1,0,1,1,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/casa-rua-luis-carlos-gentile-de-laet-tremembe-sao-paulo-4-quartos-180m2/1o0s4b9,Rua Luís Carlos Gentile de Laet - Tremembé - São Paulo - SP,Tremembé,1050000,Sem info,180,5833,4,0,0,2,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-alameda-fernao-cardim-jardim-paulista-sao-paulo-4-quartos-290m2/11wkcq7,Condomínio Edificio Morada De Santa Anna - Alameda Fernão Cardim - Jardim Paulista - São Paulo - SP,Jardim Paulista,4500000,4º andar em diante,290,15517,4,2,4,6,0,Não,Sem descrição,591
